province,climate,Location,ecotourism,Caravanserai,Museum,Historical mosque,Church,Castle,Lake,waterfall,River,dam,Forest ,desert,plain,mountainous,Sea,port,Beach,Traditional market,UNESCO registration,Protected area,Flight site,ski slope,Island,2015 - 2018,2019 - 2021,Avg 
East Azarbaijan,Four Seasons,mountainous,26,11,40,29,46,12,10,14,10,9,No,No,No,Yes,No,0,0,3,4,10,No,Yes,No,4968779,254384,2611581
Western Azerbaijan,Four Seasons,mountainous - Forest,13,4,11,14,43,5,7,10,9,10,Yes,No,No,Yes,No,0,0,4,1,3,No,Yes,No,4295306,249215,2272260
Ardabil,Four Seasons,mountainous -  Forest,13,3,15,6,0,9,1,9,5,0,Yes,No,No,Yes,No,0,0,1,1,4,No,Yes,No,2652952,174205,1413578
Esfahan,tropical,desert - plain,261,30,17,69,31,6,6,13,4,4,No,Yes,Yes,No,No,0,0,2,7,4,No,Yes,No,7315176,575849,3945512
Alborz,Four Seasons,mountainous,3,2,10,1,0,1,3,13,26,2,No,No,No,Yes,No,0,0,0,0,1,Yes,Yes,No,1856702,151426,1004064
Ilam,tropical,mountainous - plain,16,0,10,1,0,14,1,7,2,2,No,No,Yes,Yes,No,0,0,0,0,4,No,No,No,376867,104307,240587
Bushehr,tropical,Forest - Sea,26,1,5,4,1,4,2,2,4,1,Yes,No,No,No,Yes,2,1,0,0,2,No,No,Yes,1714376,76485,1330807
Tehran,Four Seasons,mountainous - plain,26,13,100,36,11,5,2,23,19,4,No,No,Yes,Yes,No,0,0,3,1,4,Yes,Yes,No,12719863,947238,6833551
Chaharmahal va Bakhtiari,cold garlic,mountainous - Forest,14,0,23,15,1,0,4,14,5,2,Yes,No,No,Yes,No,0,0,0,0,5,No,Yes,No,1821910,135370,978640
southern Khorasan,tropical,desert - plain,64,5,19,5,0,7,2,3,7,1,No,Yes,Yes,No,No,0,0,0,3,4,No,No,No,1792535,117877,955206
Khorasan Razavi,Four Seasons,plain,111,36,80,5,1,0,3,23,13,16,No,No,Yes,No,No,0,0,1,1,23,Yes,No,No,18451131,1266741,9858936
North Khorasan,Four Seasons,plain,29,2,6,4,0,0,1,9,13,2,No,No,Yes,No,No,0,0,0,0,4,No,Yes,No,2032209,140206,1086208
Khuzestan,tropical,Sea,20,6,2,32,3,5,3,8,14,10,No,No,No,No,Yes,1,1,0,3,4,No,No,Yes,6714099,405583,3559841
Zanjan,Four Seasons,mountainous,12,3,7,11,0,0,2,3,2,47,No,No,No,Yes,No,0,0,1,1,2,No,Yes,No,1648707,194716,921712
Semnan,tropical,desert - mountainous - plain,75,22,27,8,0,2,0,3,4,0,No,Yes,Yes,Yes,No,0,0,0,0,2,No,No,No,1491200,126973,809087
Sistan va Baluchestan,tropical,desert - Sea,14,3,9,2,0,4,1,5,7,1,No,Yes,No,No,Yes,1,4,0,1,4,No,No,No,2485136,394733,1439934
Fars,tropical,mountainous - Forest,116,34,17,11,2,1,12,19,26,9,Yes,No,No,Yes,No,0,0,4,5,7,Yes,Yes,No,7044420,688745,3866583
Qazvin,Four Seasons,mountainous,7,10,17,21,5,3,1,3,5,0,No,No,No,Yes,No,0,0,1,0,0,No,No,No,2533192,253427,1393310
Qom,tropical,plain,5,18,13,10,0,0,0,2,5,1,No,No,Yes,No,No,0,0,0,0,2,No,No,No,4532947,135868,2334408
Kurdistan,Four Seasons,mountainous - Forest,25,1,5,8,1,0,1,3,8,8,Yes,No,No,Yes,No,0,0,3,0,4,No,Yes,No,4221469,258608,2240039
Kerman,tropical,desert - plain,83,24,25,4,1,22,3,8,4,3,No,Yes,Yes,No,No,0,0,3,6,10,No,No,No,2088381,402163,1245272
Kermanshah,Four Seasons,mountainous - Forest,29,2,12,7,1,5,16,11,16,4,Yes,No,No,Yes,No,0,0,1,1,2,No,No,No,4282037,211228,2246633
Kohgiloyeh va Boyerahmad,cold garlic,mountainous,4,2,1,4,0,0,1,13,4,2,No,No,No,Yes,No,0,0,0,1,6,No,Yes,No,767541,98545,433043
Golestan,Hyrcania,Forest - Sea,90,4,1,3,1,0,5,14,5,1,Yes,No,No,No,Yes,2,1,0,1,1,Yes,No,No,4660775,157681,2409228
Gilan,Hyrcania,mountainous - Forest - Sea,168,4,15,30,2,4,16,9,16,3,Yes,No,No,Yes,Yes,1,4,2,0,5,No,No,No,9284474,541014,4912744
Lorestan,Four Seasons,mountainous - Forest,15,4,2,14,0,4,3,15,8,12,Yes,No,No,Yes,No,0,0,2,0,2,No,No,No,2274399,188658,1231529
Mazandaran,Hyrcania,Forest - Sea,121,6,20,8,1,5,5,37,28,13,Yes,No,No,No,Yes,3,6,3,1,11,Yes,No,No,9923132,1048993,5486033
Markazi,Four Seasons,plain,19,8,5,12,1,1,10,2,5,3,No,No,Yes,No,No,0,0,2,1,2,No,Yes,No,3457503,344166,1745835
Hormozgan,tropical,Sea,90,18,13,27,0,18,3,3,11,6,No,No,No,No,Yes,2,4,2,0,12,Yes,No,Yes,3201418,343020,1772219
Hamedan,Four Seasons,mountainous,25,13,9,1,1,0,4,3,20,7,No,No,No,Yes,No,0,0,2,0,6,No,Yes,No,2636722,213044,1424883
Yazd,tropical,desert - plain,161,32,34,12,0,3,0,2,2,0,No,Yes,Yes,No,No,0,0,0,5,4,No,No,No,1274403,227006,750705
